date,open,high,low,close,volume
2020-09-21 07:15:00,295.168854698,295.168854698,295.168854698,295.168854698,1913
2020-09-21 07:30:00,294.290375964,294.290375964,294.290375964,294.290375964,990
2020-09-21 07:45:00,294.290375964,294.290375964,294.290375964,294.290375964,954
2020-09-21 08:00:00,294.290375964,294.290375964,294.290375964,294.290375964,801
2020-09-21 08:15:00,294.192767216,294.192767216,293.899940971,293.899940971,1451
2020-09-21 08:30:00,293.802332223,293.802332223,293.802332223,293.802332223,466
2020-09-21 08:45:00,293.802332223,293.802332223,293.314288482,293.314288482,795
2020-09-21 09:00:00,293.402136355,293.402136355,292.895839778,293.314288482,2597
2020-09-21 09:15:00,293.314288482,293.314288482,292.82624474,292.82624474,1544
2020-09-21 09:30:00,293.216679733,293.324049356,293.050744861,293.050744861,1248
2020-09-21 09:45:00,293.285005857,293.343571106,286.969719846,287.750589832,350302
2020-09-21 10:00:00,287.682263708,288.11662263700003,286.413349981,287.80915508,181521
2020-09-21 10:15:00,287.911644266,288.355764071,284.68567513700003,285.832577928,189750
2020-09-21 10:30:00,285.739849618,286.667132726,285.232284127,286.361617344,157248
2020-09-21 10:45:00,286.296219483,287.028187486,285.388458124,286.579284853,124015
2020-09-21 11:00:00,286.550002228,287.555372335,286.413349981,286.798904536,117015
2020-09-21 11:15:00,286.803784974,287.623698459,286.637850102,286.7159371,77878
2020-09-21 11:30:00,286.794024099,287.008763345,286.091241111,286.608567477,179870
2020-09-21 11:45:00,286.60368704,287.155176467,285.769132242,286.501197854,91077
2020-09-21 12:00:00,286.545317008,287.570013647,285.925306239,286.17420854700003,91556
2020-09-21 12:15:00,286.159567235,286.872111097,285.86674099,286.052197612,80838
2020-09-21 12:30:00,286.032675862,286.55976310299997,285.827697491,286.237654234,84505
2020-09-21 12:45:00,286.24741510900003,287.24302434099997,285.536530595,286.925795909,87809
2020-09-21 13:00:00,286.989241595,287.106372093,286.69641535,286.930676346,137230
2020-09-21 13:15:00,286.94043722099997,287.31135046400004,286.462154355,287.31135046400004,69060
2020-09-21 13:30:00,287.428480962,288.999981809,287.203980841,288.946589824,62882
2020-09-21 13:45:00,288.88285131099997,289.10735143200003,288.361327769,288.877970874,106717
2020-09-21 14:00:00,288.775481688,289.390416802,288.755959938,289.146394931,83530
2020-09-21 14:15:00,289.136634057,289.18543843099997,288.492416318,289.009742684,86123
2020-09-21 14:30:00,289.06830793299997,289.878460543,289.058547058,289.702764796,105162
2020-09-21 14:45:00,289.595395173,289.85893879400004,289.117112307,289.52706905,124716
2020-09-21 15:00:00,289.448982051,290.835026276,289.351373303,290.830145839,97726
2020-09-21 15:15:00,290.830145839,291.674461511,290.805743652,291.03512421,196911
