date,open,high,low,close,volume
2020-09-21 04:15:00,32.88709879,32.88709879,32.815721473,32.815721473,314
2020-09-21 04:30:00,32.744344156,32.744344156,32.5480565344,32.5480565344,1446
2020-09-21 05:30:00,32.6551225098,32.6551225098,32.6551225098,32.6551225098,200
2020-09-21 07:00:00,32.4945235467,32.5480565344,32.4677570528,32.4677570528,6204
2020-09-21 07:15:00,32.4677570528,32.5480565344,32.3428467481,32.4053019005,23800
2020-09-21 07:30:00,32.3874575712,32.5391343698,32.3874575712,32.5391343698,2613
2020-09-21 07:45:00,32.4856013821,32.6015895221,32.4856013821,32.6015895221,6983
2020-09-21 08:00:00,32.5748230283,32.6015895221,32.5480565344,32.5480565344,1288
2020-09-21 08:15:00,32.3874575712,32.6105116867,32.3606910774,32.4766792174,41529
2020-09-21 08:30:00,32.4677570528,32.4856013821,32.4588348882,32.4766792174,23851
2020-09-21 08:45:00,32.4766792174,32.5302122052,32.3697024636,32.3697916853,28460
2020-09-21 09:00:00,32.369613242,32.470522923800004,32.3606910774,32.3874575712,10153
2020-09-21 09:15:00,32.432068394299996,32.512457097600006,32.4053019005,32.512367875900004,10060
2020-09-21 09:30:00,32.512367875900004,32.5748230283,32.512367875900004,32.5212900405,82676
2020-09-21 09:45:00,32.5034457113,32.7532663207,31.9859601633,32.1510202088,3446732
2020-09-21 10:00:00,32.1501279923,32.2483610248,32.003804492600004,32.1956310319,1446403
2020-09-21 10:15:00,32.1956310319,32.2268586081,32.0350320687,32.0573374803,1211487
2020-09-21 10:30:00,32.048415315700005,32.0573374803,31.905660681700002,32.039493151,1498040
2020-09-21 10:45:00,32.0439542334,32.182247785,31.968115834099997,32.1019483034,1225250
2020-09-21 11:00:00,32.110870468,32.1777867027,31.9190439287,31.968115834099997,926685
2020-09-21 11:15:00,31.968115834099997,32.0216488218,31.9145828464,31.921809799699997,896189
2020-09-21 11:30:00,31.9190439287,32.0082655749,31.8342833648,31.9948823279,1187001
2020-09-21 11:45:00,31.9859601633,32.2447029373,31.9859601633,32.2179364435,1429699
2020-09-21 12:00:00,32.2179364435,32.365152159699996,32.2045531965,32.2134753611,1202233
2020-09-21 12:15:00,32.2090142788,32.3785354066,32.1867088673,32.262547266599995,482395
2020-09-21 12:30:00,32.262547266599995,32.3160802543,32.164403455700004,32.1733256204,1043853
2020-09-21 12:45:00,32.1733256204,32.2259663916,32.1197926326,32.1420980442,717358
2020-09-21 13:00:00,32.1376369619,32.1635112393,32.0885650565,32.1287147973,629508
2020-09-21 13:15:00,32.1331758796,32.2536251019,32.0662596449,32.2313196904,853761
2020-09-21 13:30:00,32.2268586081,32.2803915958,32.1733256204,32.2463981486,1061571
2020-09-21 13:45:00,32.2450598239,32.271469431199996,32.1287147973,32.1287147973,672836
