date,open,high,low,close,volume,{
2020-09-16 07:21:00,77.5855,77.5855,77.5855,77.5855,2240.0,
2020-09-16 07:24:00,77.5,77.5,77.5,77.5,9880.0,
2020-09-16 07:51:00,77.722,77.722,77.722,77.722,2400.0,
2020-09-16 07:58:00,77.6205,77.631,77.6205,77.631,6000.0,
2020-09-16 08:47:00,77.567,77.567,77.567,77.567,2140.0,
2020-09-16 09:29:00,77.5,77.5,77.5,77.5,13760.0,
2020-09-16 09:30:00,77.8,77.8,77.623,77.623,31640.0,
2020-09-16 09:31:00,77.777,77.777,77.5005,77.602,832900.0,
2020-09-16 09:32:00,77.578,77.578,77.555,77.555,46000.0,
2020-09-16 09:33:00,77.5925,77.60300000000001,77.53825,77.5585,44780.0,
2020-09-16 09:34:00,77.5525,77.66625,77.5525,77.66625,55800.0,
2020-09-16 09:35:00,77.75,77.85975,77.73,77.7835,155180.0,
2020-09-16 09:36:00,77.8335,77.8595,77.75,77.764,107360.0,
2020-09-16 09:37:00,77.817,77.8695,77.79375,77.808,45860.0,
2020-09-16 09:38:00,77.734,77.7845,77.7285,77.7845,38120.0,
2020-09-16 09:39:00,77.76,77.9445,77.76,77.9075,179880.0,
2020-09-16 09:40:00,77.94231500000001,78.0095,77.94231500000001,78.0095,97320.0,
2020-09-16 09:41:00,78.048,78.1,78.01698,78.04899999999999,122760.0,
2020-09-16 09:42:00,78.04825,78.05,77.8965,77.8965,85240.0,
2020-09-16 09:43:00,77.8795,77.89975,77.75,77.7565,137360.0,
2020-09-16 09:44:00,77.771125,77.771125,77.6545,77.6545,124600.0,
2020-09-16 09:45:00,77.605,77.68875,77.567,77.567,66000.0,
2020-09-16 09:46:00,77.567875,77.658335,77.567875,77.6275,83980.0,
2020-09-16 09:47:00,77.5695,77.579,77.5305,77.54196999999999,44480.0,
2020-09-16 09:48:00,77.5665,77.57,77.539775,77.57,44180.0,
2020-09-16 09:49:00,77.586,77.6055,77.5285,77.5285,53000.0,
2020-09-16 09:50:00,77.5005,77.50191,77.435,77.46695,74900.0,
2020-09-16 09:51:00,77.45875,77.45875,77.3765,77.3765,57720.0,
2020-09-16 09:52:00,77.40275,77.62375,77.40275,77.62375,121640.0,
2020-09-16 09:53:00,77.624495,77.64975,77.624495,77.64975,20000.0,
2020-09-16 09:54:00,77.667875,77.69800000000001,77.642,77.6585,128420.0,
2020-09-16 09:55:00,77.66899000000001,77.66899000000001,77.599595,77.65905,73700.0,
2020-09-16 09:56:00,77.689375,77.689375,77.678,77.678,10280.0,
2020-09-16 09:57:00,77.723,77.7375,77.6825,77.70275,52060.0,
2020-09-16 09:58:00,77.713125,77.713125,77.713125,77.713125,12500.0,
2020-09-16 09:59:00,77.66889499999999,77.70275,77.59775,77.59775,75160.0,
2020-09-16 10:00:00,77.566,77.678,77.566,77.678,57100.0,
2020-09-16 10:01:00,77.6415,77.6475,77.5515,77.5515,38180.0,
2020-09-16 10:02:00,77.54658,77.54658,77.52600000000001,77.532,30760.0,
2020-09-16 10:03:00,77.506,77.5935,77.4835,77.514945,68860.0,
2020-09-16 10:04:00,77.4805,77.4805,77.3945,77.420265,96160.0,
2020-09-16 10:05:00,77.438,77.507,77.3915,77.419,112320.0,
2020-09-16 10:06:00,77.39,77.4045,77.208,77.208,98080.0,
2020-09-16 10:07:00,77.206425,77.25,77.16419499999999,77.16419499999999,71180.0,
2020-09-16 10:08:00,77.20125,77.4,77.20075,77.34825,62260.0,
2020-09-16 10:09:00,77.34925,77.3575,77.3105,77.3105,62160.0,
2020-09-16 10:10:00,77.33425,77.33800000000001,77.2,77.2555,117760.0,
2020-09-16 10:11:00,77.23692,77.3375,77.23225,77.3375,25480.0,
2020-09-16 10:12:00,77.33425,77.3775,77.33425,77.3775,24760.0,
2020-09-16 10:13:00,77.3375,77.3375,77.2515,77.3005,50520.0,
2020-09-16 10:14:00,77.3305,77.33925,77.2085,77.22707,72080.0,
2020-09-16 10:15:00,77.2465,77.25725,77.23686500000001,77.2465,121380.0,
2020-09-16 10:16:00,77.28399999999999,77.32771,77.2055,77.32771,114760.0,
2020-09-16 10:17:00,77.2565,77.2565,77.2235,77.248,21840.0,
2020-09-16 10:18:00,77.205,77.20999499999999,77.13,77.132,186360.0,
2020-09-16 10:19:00,77.072,77.07314000000001,76.92771,77.000385,91400.0,
2020-09-16 10:20:00,76.97591,77.0315,76.9485,77.0315,30560.0,
2020-09-16 10:21:00,76.9845,77.08,76.9845,77.07,41720.0,
2020-09-16 10:22:00,77.051,77.051,77.0215,77.0215,17680.0,
2020-09-16 10:23:00,77.0,77.039,76.92699999999999,76.98386500000001,58920.0,
2020-09-16 10:24:00,76.97,77.05325,76.97,77.0395,92580.0,
